+---------+-------------+-------------+-------------+-------------+-------------+-----------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+------------+-------------+-------------+-------------+-------------+-------------+
|  Class  |   Monday 1  |   Monday 2  |   Monday 3  |   Monday 4  |  Tuesday 1  | Tuesday 2 |  Tuesday 3  |  Tuesday 4  | Wednesday 1 | Wednesday 2 | Wednesday 3 | Wednesday 4 |  Thursday 1 |  Thursday 2 | Thursday 3 |  Thursday 4 |   Friday 1  |   Friday 2  |   Friday 3  |   Friday 4  |
+---------+-------------+-------------+-------------+-------------+-------------+-----------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+------------+-------------+-------------+-------------+-------------+-------------+
| Class 1 |    Maths    | Programming |  Chemistry  |   Physics   |   Biology   | Chemistry | Programming |    Maths    |   Physics   |  Chemistry  |    Maths    | Programming |    Maths    |   Biology   |  Biology   |   Physics   | Programming |   Biology   |   Physics   |  Chemistry  |
|         |  Teacher 1  |  Teacher 9  |  Teacher 5  |  Teacher 3  |  Teacher 7  | Teacher 5 |  Teacher 9  |  Teacher 1  |  Teacher 3  |  Teacher 5  |  Teacher 1  |  Teacher 9  |  Teacher 1  |  Teacher 7  | Teacher 7  |  Teacher 3  |  Teacher 9  |  Teacher 7  |  Teacher 3  |  Teacher 5  |
|         |             |             |             |             |             |           |             |             |             |             |             |             |             |             |            |             |             |             |             |             |
| Class 2 |  Chemistry  |    Maths    |   Biology   | Programming |  Chemistry  |  Physics  |  Chemistry  |   Physics   |    Maths    |   Biology   |   Biology   |   Physics   |   Physics   |  Chemistry  |   Maths    | Programming |   Biology   | Programming |    Maths    | Programming |
|         |  Teacher 5  |  Teacher 1  |  Teacher 7  |  Teacher 9  |  Teacher 5  | Teacher 3 |  Teacher 5  |  Teacher 3  |  Teacher 1  |  Teacher 7  |  Teacher 7  |  Teacher 3  |  Teacher 3  |  Teacher 5  | Teacher 1  |  Teacher 9  |  Teacher 7  |  Teacher 9  |  Teacher 1  |  Teacher 9  |
|         |             |             |             |             |             |           |             |             |             |             |             |             |             |             |            |             |             |             |             |             |
| Class 3 |   Biology   |   Physics   | Programming |    Maths    |    Maths    |  Biology  |   Physics   |  Chemistry  |  Chemistry  |   Physics   | Programming |   Biology   |   Biology   | Programming |  Physics   |  Chemistry  |    Maths    |  Chemistry  | Programming |    Maths    |
|         |  Teacher 7  |  Teacher 3  |  Teacher 9  |  Teacher 1  |  Teacher 1  | Teacher 7 |  Teacher 3  |  Teacher 5  |  Teacher 5  |  Teacher 3  |  Teacher 9  |  Teacher 7  |  Teacher 7  |  Teacher 9  | Teacher 3  |  Teacher 5  |  Teacher 1  |  Teacher 5  |  Teacher 9  |  Teacher 1  |
|         |             |             |             |             |             |           |             |             |             |             |             |             |             |             |            |             |             |             |             |             |
| Class 4 |  Chemistry  |    Maths    |   Biology   | Programming |   Physics   | Chemistry |    Maths    | Programming |  Chemistry  |   Physics   |  Chemistry  |   Physics   |   Biology   | Programming |   Maths    | Programming |    Maths    |   Biology   |   Biology   |   Physics   |
|         |  Teacher 6  |  Teacher 2  |  Teacher 8  |  Teacher 10 |  Teacher 4  | Teacher 6 |  Teacher 2  |  Teacher 10 |  Teacher 6  |  Teacher 4  |  Teacher 6  |  Teacher 4  |  Teacher 8  |  Teacher 10 | Teacher 2  |  Teacher 10 |  Teacher 2  |  Teacher 8  |  Teacher 8  |  Teacher 4  |
|         |             |             |             |             |             |           |             |             |             |             |             |             |             |             |            |             |             |             |             |             |
| Class 5 | Programming |   Biology   |  Chemistry  |    Maths    |    Maths    |  Biology  |   Biology   |   Physics   |   Physics   |  Chemistry  |    Maths    | Programming |  Chemistry  |   Physics   | Chemistry  |   Physics   |   Biology   | Programming | Programming |    Maths    |
|         |  Teacher 10 |  Teacher 8  |  Teacher 6  |  Teacher 2  |  Teacher 2  | Teacher 8 |  Teacher 8  |  Teacher 4  |  Teacher 4  |  Teacher 6  |  Teacher 2  |  Teacher 10 |  Teacher 6  |  Teacher 4  | Teacher 6  |  Teacher 4  |  Teacher 8  |  Teacher 10 |  Teacher 10 |  Teacher 2  |
|         |             |             |             |             |             |           |             |             |             |             |             |             |             |             |            |             |             |             |             |             |
| Class 6 |   Biology   |  Chemistry  | Programming |   Biology   | Programming |   Maths   | Programming |    Maths    |    Maths    |   Biology   |   Physics   |   Biology   | Programming |  Chemistry  |  Physics   |    Maths    |  Chemistry  |   Physics   |   Physics   |  Chemistry  |
|         |  Teacher 8  |  Teacher 6  |  Teacher 10 |  Teacher 8  |  Teacher 10 | Teacher 2 |  Teacher 10 |  Teacher 2  |  Teacher 2  |  Teacher 8  |  Teacher 4  |  Teacher 8  |  Teacher 10 |  Teacher 6  | Teacher 4  |  Teacher 2  |  Teacher 6  |  Teacher 4  |  Teacher 4  |  Teacher 6  |
|         |             |             |             |             |             |           |             |             |             |             |             |             |             |             |            |             |             |             |             |             |
+---------+-------------+-------------+-------------+-------------+-------------+-----------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+------------+-------------+-------------+-------------+-------------+-------------+
